GDP,BAMLHYH0A0HYM2TRIV,CPIAUCSL,UNRATE,SP500
16152.257,864.32,228.713,8.2,1397.91
16152.257,881.89,228.524,8.2,1310.33
16257.151,898.79,228.59,8.2,1362.16
16257.151,909.63,229.918,8.1,1379.32
16257.151,922.59,231.015,7.8,1406.58
16358.863,930.2,231.638,7.8,1440.67
16358.863,937.1,231.249,7.7,1412.16
16358.863,951.96,231.221,7.9,1416.18
16569.591,965.06,231.679,8,1426.19
16569.591,969.53,232.937,7.7,1498.11
16569.591,979.52,232.282,7.5,1514.68
16637.926,997.71,231.797,7.6,1569.19
16637.926,992.41,231.893,7.5,1597.57
16637.926,966.25,232.445,7.5,1630.74
16848.748,984.42,232.9,7.3,1606.28
16848.748,977.48,233.456,7.2,1685.73
16848.748,988.02,233.544,7.2,1632.97
17083.137,1012.31,233.669,7.2,1681.55
17083.137,1017.01,234.1,6.9,1756.54
17083.137,1022.59,234.719,6.7,1805.81
17104.555,1030.15,235.288,6.6,1848.36
17104.555,1050.8,235.547,6.7,1782.59
17104.555,1053.23,236.028,6.7,1859.45
17432.909,1060.53,236.468,6.2,1872.34
17432.909,1071.2,236.918,6.3,1883.95
17432.909,1080.26,237.231,6.1,1923.57
17721.657,1065.97,237.498,6.2,1960.23
17721.657,1082.17,237.46,6.1,1930.67
17721.657,1059.47,237.477,5.9,2003.37
17849.912,1071.53,237.43,5.7,1972.29
17849.912,1063.87,236.983,5.8,2018.05
17849.912,1048.18,236.252,5.6,2067.56
18003.399,1055.41,234.747,5.7,2058.90
18003.399,1080.59,235.342,5.5,1994.99
18003.399,1074.85,235.976,5.4,2104.50
18223.577,1087.74,236.222,5.4,2067.89
18223.577,1090.96,237.001,5.6,2085.51
18223.577,1074.32,237.657,5.3,2107.39
18347.425,1067.71,238.034,5.2,2063.11
18347.425,1048.9,238.033,5.1,2103.84
18347.425,1021.69,237.498,5,1972.18
18378.803,1049.54,237.733,5,1920.03
18378.803,1025.98,238.017,5.1,2079.36
18378.803,999.52,237.761,5,2080.41
18470.156,983.71,237.827,4.9,2043.94
18470.156,988.28,237.514,4.9,1940.24
18470.156,1031.97,237.99,5,1932.23
18656.207,1073.2,238.835,5,2059.74
18656.207,1080.95,239.44,4.8,2065.30
18656.207,1092.66,240.144,4.9,2096.96
18821.359,1120.26,240.111,4.8,2098.86
18821.359,1145.22,240.595,4.9,2173.60
18821.359,1152.62,241.068,5,2170.95
19032.58,1156.23,241.641,4.9,2168.27
19032.58,1151.67,241.993,4.7,2126.15
19032.58,1174.32,242.712,4.7,2198.81
19237.435,1190.09,243.717,4.7,2238.83
19237.435,1208.66,244.028,4.6,2278.87
19237.435,1206.12,243.721,4.4,2363.64
19379.232,1219.79,244.058,4.4,2362.72
19379.232,1230.68,243.926,4.4,2384.20
19379.232,1231.98,244.179,4.3,2411.80
19617.288,1246.19,244.328,4.3,2423.41
19617.288,1245.87,245.304,4.4,2470.30
19617.288,1257.06,246.445,4.2,2471.65
19937.963,1261.91,246.57,4.1,2519.36
19937.963,1258.53,247.333,4.2,2575.26
19937.963,1262.2,247.847,4.1,2647.58
20242.215,1270.29,248.816,4.1,2673.61
20242.215,1258.45,249.475,4.1,2823.81
20242.215,1250.68,249.413,4,2713.83
20552.653,1259,249.957,4,2640.87
20552.653,1258.81,250.64,3.8,2648.05
20552.653,1263.15,251.176,4,2705.27
20742.723,1277.27,251.482,3.8,2718.37
20742.723,1286.52,251.905,3.8,2816.29
20742.723,1293.99,252.261,3.7,2901.52
20909.853,1272.8,252.777,3.8,2913.98
20909.853,1261.25,252.662,3.7,2711.74
20909.853,1233.61,252.653,3.9,2760.17
21115.309,1290.27,252.55,4,2506.85
21115.309,1312.05,253.181,3.8,2704.10
21115.309,1324.91,254.095,3.8,2784.49
21329.877,1343.45,254.943,3.6,2834.40
21329.877,1326.37,255.167,3.6,2945.83
21329.877,1358.89,255.402,3.7,2752.06
21540.325,1365.85,256.087,3.7,2941.76
21540.325,1371.18,256.294,3.7,2980.38
21540.325,1375.53,256.593,3.5,2926.46
21747.394,1378.72,257.229,3.6,2976.74
21747.394,1382.49,257.824,3.5,3037.56
21747.394,1411.39,258.444,3.5,3140.98
21561.139,1411.45,258.82,3.6,3230.78
